address,transfers,lp,stake,total amount,day average total amount,allocated_amount
0x22538aB0c1a1BBc94c54179F9bb419d87Da08A48,14699861133603205283840,7349930566801602641920,0,22049791700404807925760,69502889520582530892.86052009,52326795981160744343
0x37C14240884086A671AC959E66c9fDc84D63331e,1262757151093445361664,0,647556635135220908032,1910313786228666269696,6083598597856827227.315846031,4580172491491281444
0x3051396C99E75cbf4446dF2Fc3427c7A4fdE8FA0,76281017973820080128,0,0,76281017973820080128,180333375824633759.1678486998,135767992244051191
0xEB28BB30CCd4bD02f7b1F124b517D17500e0fC41,17198488713048847548416,0,0,17198488713048847548416,40658365751888528483.25295508,30610554817241686153
0xc4317211ab408cf5fB666A363c6B689A8b06E702,1760773746754862710784,0,0,1760773746754862710784,4162585689727807826.912529551,3133895204112093567
0x897dF280E17dfD21EF0d23e5348cCEdE7Af9a143,11912551948038273236992,3666469394919391756288,0,15579021342957664993280,45497614037534413119.54609929,34253890504316754142
0x14c6286cA76832F13D8335b9d9230E603EcFE463,256822082929824464896,0,0,256822082929824464896,607144404089419538.7612293144,457102166298886808
0x9Ad759798E10dA0D790d32B98A529B466e81dc3f,400000000000000000,0,0,400000000000000000,945626477541371.1583924349882,711935922463159
0x42A548aC0541480aF12CCde6270949E0E06cC21a,786504188085115158528,0,393252094042557579264,1179756282127672737792,3740936929086960581.865960840,2816447558036472232
0x1C435378cdB12cb64977fd9FC2e0A7779F54C1FA,755961394312987017216,0,0,755961394312987017216,1787142776153633610.439716312,1345490181516882369
0xa95ca293BBc66BAC0c21EB9035547897502bECEf,4228010516557945344,0,0,4228010516557945344,9995296729451407.432624113475,7525181418224054
0xF5761ED6Cd24c84740D83820f38160EC46eea03b,90310250427708964864,24439253995412586496,0,114749504423121551360,329051438341688269.1631205674,247733692803002525
0x90D9a2e11242f823604cdbAe5968c998d2971F6a,200794845528883265536,82397422764441632768,0,283192268293324898304,864278229450984707.0260047281,650691084865581608
0xE33bf39BC2A7fD039d24C93Ca3012547136Ce3F3,94000000000000000000,0,0,94000000000000000000,222222222222222222.2222222222,167304941778842568
0x6c2DECF099beF045e28bD839EA48bBbb1e75b0Ae,3074154602315619237888,738632842040862834688,0,3812787444356482072576,10759858833090649898.96926714,8100799000284582552
0x790520725BD91fFE9a7dDc6B38534f041aA87b4F,155168071844860373499904,0,79600316698732798148608,234768388543593171648512,747690352337934684791.2622304,562915308899252021415
0xE6b45aBaf96380C7414788f0845d47091cbB90B3,19719499434573660160,0,0,19719499434573660160,46618201972987376.26477541371,35097550051162395
0xbC3B7BA79BdA53701FADC0f4d7F20457a483521E,217377107764745273344,0,0,217377107764745273344,513893871784267785.6832151300,386896429347169094
0x2a907F5d6EfA41cB0387bA5bf7641e968215637e,56996471809357079642112,17610723536562699632640,5074096756381712384000,79681292102301491658752,242287239408511796917.4039161,182411336173489006572
0xdE15bDf15654a8414F93219ceBc217e3c211d30F,678232871830812098560,0,0,678232871830812098560,1603387403855347750.732860520,1207145863129268215
0xB67c0415f2beF2834a9dba24a3A12B727a0a2655,284691072835614867456,0,0,284691072835614867456,673028540982541057.8156028369,506704503890625261
